#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
2.00099E+01	1.50146E+00	6.66780E-02
2.03958E+01	1.49866E+00	5.53726E-02
2.07892E+01	1.49130E+00	4.58775E-02
2.11902E+01	1.48261E+00	4.00475E-02
2.15989E+01	1.47379E+00	3.51680E-02
2.20154E+01	1.46497E+00	3.08830E-02
2.24400E+01	1.45554E+00	2.81187E-02
2.28728E+01	1.44598E+00	2.71946E-02
2.33140E+01	1.43709E+00	2.71444E-02
2.37636E+01	1.42863E+00	2.75601E-02
2.42219E+01	1.42047E+00	2.82922E-02
2.46891E+01	1.41226E+00	2.91430E-02
2.51653E+01	1.40387E+00	3.06375E-02
2.56506E+01	1.39549E+00	3.25634E-02
2.61453E+01	1.38715E+00	3.49045E-02
2.66496E+01	1.37892E+00	3.81904E-02
2.71636E+01	1.37069E+00	4.17856E-02
2.76875E+01	1.36246E+00	4.57193E-02
2.82215E+01	1.35423E+00	5.00233E-02
2.87658E+01	1.34571E+00	5.45925E-02
2.93206E+01	1.33669E+00	5.93055E-02
2.98861E+01	1.32767E+00	6.44254E-02
3.04625E+01	1.31865E+00	6.99874E-02
3.10500E+01	1.30936E+00	7.60720E-02
3.16489E+01	1.29719E+00	8.31895E-02
3.22593E+01	1.28501E+00	9.09729E-02
3.28815E+01	1.27284E+00	9.94845E-02
3.35156E+01	1.25967E+00	1.10281E-01
3.41620E+01	1.24411E+00	1.26372E-01
3.48209E+01	1.23063E+00	1.46101E-01
3.54925E+01	1.21913E+00	1.70330E-01
3.61770E+01	1.21092E+00	1.93479E-01
3.68748E+01	1.20362E+00	2.18195E-01
3.75860E+01	1.19950E+00	2.46202E-01
3.83109E+01	1.19657E+00	2.77198E-01
3.90498E+01	1.19837E+00	3.05475E-01
3.98029E+01	1.20088E+00	3.35765E-01
